ID,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
1,461,696,805,1227,1772,1984,2065,2291,2628,1870,449,646,808,1146,1639,1838,1896,2110,2679,1903,440,403,119,171,5467,5247
2,435,681,748,1204,1827,2058,2128,2368,2627,1810,414,626,717,1136,1702,1885,1960,2186,2655,1837,480,464,104,150,5529,5281
3,482,736,802,1247,1913,2139,2308,2455,2663,1809,468,686,779,1184,1783,1964,2120,2285,2695,1811,485,464,71,119,5742,5479
4,499,745,853,1246,1930,2154,2295,2458,2641,1757,480,708,813,1177,1783,1971,2132,2269,2646,1769,459,448,69,107,5731,5449
10,293,581,402,1121,3007,3519,4046,3832,2246,1202,288,563,412,1119,2820,3352,3835,3669,2267,1233,813,799,-279,-250,7811,7487
11,342,608,569,1157,2289,2598,2777,2980,2294,1304,341,580,589,1117,2047,2383,2500,2755,2331,1360,659,618,-95,-35,6142,5750
12,257,488,370,1009,2941,3490,3550,3867,2069,1105,260,464,325,990,2982,3625,3938,3902,2080,1102,811,847,-263,-308,7439,7725
6,507,714,924,1207,1691,1884,1985,2289,2948,2122,478,679,910,1145,1577,1744,1876,2133,2977,2191,364,347,195,227,5650,5489
7,484,700,874,1198,1802,2046,2145,2401,2846,1984,462,672,883,1160,1657,1870,1981,2231,2909,2079,420,383,141,190,5730,5546
9,270,555,357,1111,3446,4089,4472,4557,2152,1101,263,548,392,1135,3293,3921,4286,4389,2175,1131,850,828,-348,-323,8779,8478
