DN,T0F0D0,T0F1D0,T0F2D0,T0F3D0,T0F4D0,T0F5D0,T0F6D0,T0F7D0,T0F8D0,T0F9D0,T0F0D1,T0F1D1,T0F2D1,T0F3D1,T0F4D1,T0F5D1,T0F6D1,T0F7D1,T0F8D1,T0F9D1,T0F10D0,T0F10D1,T0F11D0,T0F11D1,T0F12D0,T0F12D1
544934,575,783,874,1232,2039,2314,2380,2540,2282,1581,570,780,898,1219,2015,2232,2313,2525,2291,1555,456,432,-13,5,5739,5664
548071,491,726,891,1249,1920,2161,2333,2502,2642,1786,491,709,912,1225,1802,2062,2212,2366,2717,1836,451,420,62,103,5781,5646
548499,598,832,946,1247,2161,2361,2339,2758,2320,1623,602,772,903,1200,2027,2269,2167,2634,2235,1526,423,413,-4,14,5908,5612
549008,503,763,959,1309,1987,2348,2598,2534,2337,1564,506,757,979,1325,1939,2284,2444,2475,2404,1588,460,428,-52,-8,5833,5738
549009,609,855,1015,1297,2206,2406,2328,2794,2392,1708,702,851,972,1336,2166,2378,2323,2815,2376,1656,393,410,13,11,6029,6002
549051,431,653,768,1145,1932,2230,2314,2527,2364,1582,412,628,766,1128,1822,2082,2175,2411,2444,1612,503,480,10,58,5576,5407
549572,406,624,622,1049,2156,2575,2650,2776,2109,1311,367,591,588,1020,2140,2444,2588,2744,2117,1297,616,624,-106,-91,5873,5757
550053,453,693,755,1075,2007,2287,2379,2632,2287,1513,437,659,754,1066,1861,2157,2224,2505,2331,1543,517,492,-19,23,5639,5432
550708,392,635,571,1062,2292,2813,2936,3047,2076,1236,397,618,567,1025,2238,2631,2802,2966,2134,1275,676,664,-171,-135,6245,6064
551668,311,548,474,1009,2336,2782,2932,3100,2014,1132,299,519,473,993,2212,2598,2714,2936,2058,1164,716,697,-180,-132,6209,5913
551793,402,623,555,1055,2586,3115,3173,3221,2070,1233,356,578,532,1091,2560,2834,3180,3126,2056,1202,702,713,-210,-214,6679,6486
552453,581,818,934,1208,1998,2178,2214,2545,2256,1570,572,773,868,1144,1948,2227,2184,2476,2218,1512,408,433,9,7,5576,5469
552498,715,973,1049,1226,1932,2135,2307,2411,2264,1605,686,934,1005,1166,1901,2145,2260,2375,2240,1559,381,396,-8,-5,5625,5523
552967,438,648,673,1041,1992,2411,2514,2724,2360,1475,392,601,616,1022,1966,2351,2368,2693,2325,1436,576,587,-31,-8,5787,5634
553279,351,535,529,926,1939,2327,2167,2600,2138,1328,305,512,517,913,1916,2251,2180,2582,2114,1283,602,611,-3,-11,5349,5277
553646,331,483,520,915,1875,2217,2074,2548,2261,1444,359,440,443,920,1835,2139,1975,2480,2203,1398,599,633,43,54,5279,5115
